#,Name,Origins
96,Drowzee,"drowsy - tired, sleepy; zee - the letter ‘z’, often used to denote sleep;"
97,Hypno,hypnosis - a trance or sleep;
98,Krabby,"crab - marine creature; crabby - irritable, bad-tempered;"
99,Kingler,king - a species of crab; royalty; fiddler - a species of crab;
100,Voltorb,volt - unit of electricity; orb - spherical object;
101,Electrode,electrode - electrical conductor; explode - to self-destruct;
102,Exeggcute,egg - oval object in which animals develop; execute - to exterminate;
103,Exeggutor,egg - oval object in which animals develop; executor - an exterminator;
104,Cubone,cub - baby animal; bone - structure making up a skeleton;
105,Marowak,marrow - material inside bone; whack - to hit;
106,Hitmonlee,"hit - to strike; mon - monster; lee - from Bruce Lee, martial arts actor"
107,Hitmonchan,"hit - to strike; mon - monster; chan - from Jackie Chan, martial arts actor"
108,Lickitung,lick - touch with the tongue; tongue - muscle in mouth;
109,Koffing,coughing - expulsion of air from the lungs;
110,Weezing,wheezing - breathing with difficulty;
111,Rhyhorn,rhino - large African mammal; horn - the spike on a rhino’s head;
112,Rhydon,rhino - large African mammal; don - of great size/importance; lord or master;
113,Chansey,chance - probability;
114,Tangela,tangle - twisted mesh of strands (e.g. vines);
115,Kangaskhan,kangaroo - Australian mammal; Genghis Khan - Mongolian leader;
116,Horsea,seahorse - marine creature; horsie - cutesy slang for ‘horse’;
117,Seadra,sea - large body of water; dragon - mythical fire-breathing creature;
118,Goldeen,goldfish - a species of fish; queen - royalty;
119,Seaking,sea - large body of water; king - royalty;
120,Staryu,starfish - marine creature; you - opposite of me (from Starmie);
121,Starmie,starfish - marine creature; me - opposite of you (from Staryu);
122,Mr. Mime,Mr. - male title of respect; mime artist - a silent performer;
123,Scyther,scythe - sword-like implement;
124,Jynx,jinx - curse or bad luck;
125,Electabuzz,"electricity - energy from electric currents; buzz - low humming sound, as in electricity;"
126,Magmar,"magma - the melted rock in a volcano; mar - damage, spoil;"
127,Pinsir,pincer - crab’s claw; sir - noble title;
128,Tauros,Taurus - mythical Greek bull & star sign;
129,Magikarp,magic - illusions; carp - a species of fish;
130,Gyarados,gyre - thrash and turn about;
131,Lapras,Loch Ness - lake where the mythical ‘Loch Ness Monster’ (on which Lapras is based) supposedly resides;
132,Ditto,ditto - a duplicate or copy;
133,Eevee,E-V - short for ‘evolution’;
134,Vaporeon,vapor - water mist; eon - long period of time (implying evolution);
135,Jolteon,jolt - a sudden movement or burst of electricity; eon - long period of time (implying evolution);
136,Flareon,flare - burst of fire; eon - long period of time (implying evolution);
137,Porygon,polygon - a many sided figure;
138,Omanyte,ammonite - shell fossil; -ite - suffix meaning ‘closely related’;
139,Omastar,ammonite - shell fossil; star - pointed shape;
140,Kabuto,kabuto - type of helmet used by ancient Japanese warriors;
141,Kabutops,kabuto - type of helmet used by ancient Japanese warriors; top - above;
142,Aerodactyl,aero- - flying prefix; pterodactyl - prehistoric flying reptile;
143,Snorlax,snore - sound made during sleeping; lax - lazy;
144,Articuno,arctic - relating to the (cold) regions around the North Pole; uno - Spanish for one;
145,Zapdos,zap - relating to the sound of striking electricity; dos - Spanish for two;
146,Moltres,molten - liquified by heating; tres - Spanish for three;
147,Dratini,dragon - mythical fire-breathing creature; tiny - small;
148,Dragonair,dragon - mythical fire-breathing creature; air - relating to its majesty;
149,Dragonite,dragon - mythical fire-breathing creature; knight - noble cavalier;
150,Mewtwo,mew - cat sound; two - the second iteration of Mew;
151,Mew,mew - cat sound;
152,Chikorita,chicory - flowering plant; -ita - Spanish suffix meaning ‘small’;
153,Bayleef,bay - a type of tree; leaf - plant foliage;
154,Meganium,"mega - large, biggest; geranium - a type of plant;"
155,Cyndaquil,cinder - ashes; quill - sharp feather/needle;
156,Quilava,quill - sharp feather/needle; lava - magma that flows out of a volcano;
157,Typhlosion,"typhoon - tropical cyclone; explosion - eruption, blast;"
158,Totodile,tot - a small child; crocodile - a species of reptile;
159,Croconaw,crocodile - a species of reptile; gnaw - to chew on;
160,Feraligatr,"feral - menacing, ferocious; alligator - a species of reptile;"
161,Sentret,sentry - a guard; ferret - a rodent mammal;
162,Furret,fur - soft hair coating; ferret - a mammal in the weasel family;
163,Hoothoot,hoot - a sound that owls make;
164,Noctowl,nocturnal - active at night; owl - a species of bird;
165,Ledyba,ladybird - a species of insect (aka ladybug);
166,Ledian,ladybird - a species of insect (aka ladybug);
167,Spinarak,spinneret - spider silk secreter; arachnid - a spider;
168,Ariados,arachnid - a spider; dos - Spanish word for two;
169,Crobat,cross - intersecting lines; bat - cave-dwelling flying mammal;
170,Chinchou,chochin - Japanese for ‘lantern’;
171,Lanturn,"lantern - a candle/light in a case; urn - vase, container (Lanturn swallows prey whole);"
172,Pichu,pika - a small mouse-like mammal; chu - Japanese for ‘squeak’;
173,Cleffa,clef - musical symbol;
174,Igglybuff,jiggly/wiggly - from later evolutions Jigglypuff/Wigglytuff; buff - to shine;
175,Togepi,togi - spike; pi - to chirp;
176,Togetic,togi - spike; tic - chick;
177,Natu,"Atu - the first man, in Samoan mythology;"
178,Xatu,"X - exotic; Atu - the first man, in Samoan mythology;"
179,Mareep,Mary - the girl in the poem ‘Mary Had a Little Lamb’; sheep - a species of mammal;
180,Flaaffy,"fluffy - soft, cute; baa - sheep noise;"
181,Ampharos,ampere - unit of electrical current; pharos - Greek for lighthouse; pharaoh - Ancient Egyptian ruler (which Ampharos is designed after)
182,Bellossom,bell - ringing device (shape); blossom - plant flowers;
183,Marill,"marine - of or relating to the sea; rill - brook, small river;"
184,Azumarill,"azul - blue; marine - of or relating to the sea; rill - brook, small river"
185,Sudowoodo,pseudo- - prefix meaning ‘false’ (Sudowoodo is based on petrified wood); wood - matter that trees are made of;
186,Politoed,poliwog - tadpole; toad - a species of amphibian;
187,Hoppip,hop - jump on one leg; pip - seed;
188,Skiploom,skip - walking with steps and hops; bloom - blossoming;
189,Jumpluff,jump - as in hop-skip-jump; fluff - light downy material;
190,Aipom,ape - a species of primate; palm - referring to hand; pom-pom - cheerleading decoration
191,Sunkern,sunflower - flower with yellow petals that looks like the Sun; kernel - inner part of a seed/stone; sunken - settled into the ground
192,Sunflora,sunflower - flower with yellow petals that looks like the Sun; flora - relating to plants;
193,Yanma,yanma - Japanese for ‘large dragonfly’;
194,Wooper,Wooper Looper - Japanese name for a pet salamander/axolotl;
195,Quagsire,"quagmire - swamp, quicksand; sire - master, lord;"
196,Espeon,ESP - Extra Sensory Perception; psychic power; eon - long period of time (implying evolution);
197,Umbreon,umbra - darkest part of a shadow; eon - long period of time (implying evolution);
198,Murkrow,"murky - dark, gloomy; crow - a species of bird; murder - a group of crows"
199,Slowking,slow - not fast; king - royalty;
200,Misdreavus,"mischievous - naughty; dream - mental images seen during sleep; reave - rob, steal"
201,Unown,unknown - not known ;);
202,Wobbuffet,wobble - rocking motion; buffet - strike repeatedly (relating to Wobbuffet’s punching bag shape);
203,Girafarig,"giraffe - long-necked African mammal; [palindrome] - Girafarig reads the same backwards as forwards, reflecting its symmetric design;"
204,Pineco,pine cone - seed of a pine tree;
205,Forretress,"fortress - defensive structure, e.g. a castle; turret - castle/fortress tower, often holding weapons;"
206,Dunsparce,dun - yellow; sparse - rare;
207,Gligar,glide - fly smoothly; gargoyle - grotesque carved ornament;
208,Steelix,steel - a metal alloy; onyx - a type of rock; Onix is Steelix’s prevolution;
209,Snubbull,snub - feeling of disdain; flattened nose; bulldog - gruff breed of dog;
210,Granbull,"grand - large, impressive; bulldog - gruff breed of dog;"
211,Qwilfish,quill - sharp feather used for writing with ink; fish - marine creature;
212,Scizor,scissor(s) - cutting implements;
213,Shuckle,shuck - hard shell of nuts or oysters; turtle - water-based reptile;
214,Heracross,Hercules - Greek god (aka Heracles) and type of beetle; cross - intersecting lines;
215,Sneasel,"sneaky - crafty, deceitful; weasel - small mammal with a long body;"
216,Teddiursa,teddy - stuffed toy; ursa - Latin for ‘bear’;
217,Ursaring,"ursa - Latin for ‘bear’; ring - circle, target; refers to its design;"
218,Slugma,slug - snail-like terrestrial gastropod; magma - the melted rock in a volcano;
219,Magcargo,magma - the melted rock in a volcano; escargot - French for ‘snail’;
220,Swinub,swine - of or relating to pigs; nub - lump/knob (referring to its nose);
221,Piloswine,pilose - covered with hair; swine - of or relating to pigs;
222,Corsola,coral - hard skeleton secreted by certain marine creatures; solar - of or relating to the Sun;
223,Remoraid,remora - fish that affixes itself to other marine creatures; raid - sudden attack;
224,Octillery,octopus - marine creature with eight tentacles; artillery - weapons;
225,Delibird,deliver - transport an item to the recipient; Adélie - a species of penguin; bird - winged animal
226,Mantine,manta ray - marine creature; tine - sharp point or fork;
227,Skarmory,"sky - the air, where birds fly; armory - storage unit for weapons;"
228,Houndour,"hound - to hunt or pursue, like a dog; dour - sullen, gloomy;"
229,Houndoom,"hound - to hunt or pursue, like a dog; doom - adverse fate;"
230,Kingdra,king - royalty; dragon - mythical fire-breathing creature;
231,Phanpy,elephant - large mammal with a trunk; pygmy - a small creature;
232,Donphan,don - of great size/importance; lord or master; elephant - large mammal with a trunk;
233,Porygon2,polygon - a many sided figure; two - as in ‘Version 2’;
234,Stantler,stag - male deer; antler - a deer’s ‘horns’;
235,Smeargle,"smear - smudge (e.g. ink, paint); beagle - a breed of dog;"
236,Tyrogue,"tyro - beginner, novice; rogue - a mischievous person;"
237,Hitmontop,hit - to strike; mon - monster; top - spinning top on which it’s based
238,Smoochum,smooch - to kiss; smooch ‘em - smooch them;
239,Elekid,electricity - energy from electric currents; kid - a child;
240,Magby,magma - the melted rock in a volcano; baby - newborn child;
241,Miltank,milk - white liquid from cows; tank - large storage unit or heavily amored vehicle;
242,Blissey,bliss - happiness (required for evolution from Chansey);
243,Raikou,rai - Japanese for ‘thunder’; kotei - Japanese for ‘emperor’;
244,Entei,enten - Japanese for ‘blazing heat’; kotei - Japanese for ‘emperor’;
245,Suicune,sui - Japanese for ‘water’; kun - Japanese for ‘monarch’;
246,Larvitar,larva - young feeding stage of an insect; tar - from Latin ‘tardus’ meaning slow;
247,Pupitar,pupae - immobile cocoon stage of an insect; tar - from Latin ‘tardus’ meaning slow;
248,Tyranitar,Tyrannosaurus - a large bipedal dinosaur; tar - from Latin ‘tardus’ meaning slow;
249,Lugia,luego - Latin for ‘lie dormant’;
250,Ho-oh,Hōō - Chinese phoenix;
251,Celebi,celestial - heavenly; being - one’s existence;
252,Treecko,tree - large plant with a trunk; gecko - tropical lizard;
253,Grovyle,grove - small wood or forest; reptile - animal with scales;
254,Sceptile,sceptre - wand used by royalty; reptile - animal with scales;
255,Torchic,torch - a piece of wood alight; chick - baby bird/chicken;
256,Combusken,combustion - state where something bursts into flames; chicken - a species of bird;
257,Blaziken,blaze - a bright fire; chicken - a species of bird;
258,Mudkip,mudskipper - amphibious fish;
259,Marshtomp,marsh - boggy area; stomp - step on with force;
260,Swampert,swamp - boggy area; expert - possessing special skill or knowledge;
261,Poochyena,pooch - slang for ‘dog’; hyena - dog-like African mammal;
262,Mightyena,mighty - powerful; hyena - dog-like African mammal;
263,Zigzagoon,zigzag - line that sharply weaves back and forth; raccoon - a small nocturnal carnivore;
264,Linoone,line - continuous straight; raccoon - a small nocturnal carnivore;
265,Wurmple,"worm - long, thin invertebrate creature; apple - a fruit, often eaten by worms;"
266,Silcoon,silk - material produced by some insects; cocoon - a pupal casing made by some insects;
267,Beautifly,beautiful - pleasing to the eye; butterfly - a species of flying insect;
268,Cascoon,cask - hard container; cocoon - a pupal casing made by some insects;
269,Dustox,"dust - fine, dry particles; toxic - poisonous;"
270,Lotad,"lotus - a type of flower; lily pad - large, floating leaf of a water lily;"
271,Lombre,lotus - a type of flower; sombrero - wide-brimmed Mexican hat;
272,Ludicolo,ludic - playful in an aimless way; colocynth - tropical plant similar to watermelon;
273,Seedot,seed - premature ungrown plant; tot - a small child;
274,Nuzleaf,nuzzle - to burrow with the nose; leaf - plant foliage;
275,Shiftry,"shifty - deceptive, evasive; tree - large plant with a trunk;"
276,Taillow,tail - hindmost part of an animal; swallow - a species of bird;
277,Swellow,swell - expand; swallow - a species of bird;
278,Wingull,wing - forelimb of a bird that enables flight; gull - a species of bird;
279,Pelipper,pelican - a large seabird; flipper - referring to its wings;
280,Ralts,astral - (anagram) relating to the stars; waltz - a type of dance;
281,Kirlia,kirlian - a type of photography concerned with psychic aura;
282,Gardevoir,garde - French for ‘guard’; voir - French for ‘see’;
283,Surskit,"surface - outside or top of an object, e.g. a lake; skitter - to skim along a surface (esp. water);"
284,Masquerain,masquerade - costume/disguise or a facade; rain - precipitation;
285,Shroomish,"shroom - short for ‘mushroom’, a fungus; -ish - suffix meaning ‘like’ or ‘partly’;"
286,Breloom,"umbrella - a dome shape, referring to Breloom’s head; mushroom - a fungus;"
287,Slakoth,slack - slow or lazy; full name sounds like ‘slack off’; sloth - a mammal commonly known for being slow;
288,Vigoroth,"vigor - energy, strength; sloth - a mammal commonly known for being slow;"
289,Slaking,slack - slow or lazy; full name sounds like ‘slacking’; king - royalty;
290,Nincada,ninja - stealthy martial art; cicada - a species of insect;
291,Ninjask,"ninja - stealthy martial art; mask - costume, disguise;"
292,Shedinja,shed - to remove a shell or skin; ninja - stealthy martial art;
293,Whismur,whisper - speak very quietly; murmur - mumble quietly;
294,Loudred,loud - (of sound) high in volume; dread - fear;
295,Exploud,"explode - blow up, erupt; loud - (of sound) high in volume;"
296,Makuhita,makushita - a division of sumo wrestling;
297,Hariyama,hariyama - a division of sumo wrestling;
298,Azurill,azure - a blue color; rill - small brook or river;
299,Nosepass,nose - facial feature; compass - instrument that determines direction;
300,Skitty,skitty - absent-minded; kitty - a young cat;
301,Delcatty,"delicate - fragile, dainty; catty - referring to cats;"
302,Sableye,sable - a mammal in the weasel family; eye - the organ of sight;
303,Mawile,"maw - the jaw of a voracious mammal; wile - deceitful cunning, trickery;"
304,Aron,armor - tough protective shell or clothing; iron - heavy/tough metal;
305,Lairon,lairy - aggressive (British slang); iron - heavy/tough metal;
306,Aggron,aggressive - always fighting; iron - heavy/tough metal;
307,Meditite,meditate - to engage in thought or contemplation; -ite - suffix meaning ‘closely related’;
308,Medicham,meditate - to engage in thought or contemplation; champion - winner over all others;
309,Electrike,electricity - energy from electric currents; strike - to hit (incl. with lightning);
310,Manectric,mane - long hair around the neck of animals such as lions; electricity - energy from electric currents;
311,Plusle,plus - a positive charge;
312,Minun,minus - a negative charge;
313,Volbeat,volt - unit of electricity; beat - rhythym;
314,Illumise,illuminate - bring light to;
315,Roselia,rose - a type of flower; buddleia - a type of flower;
316,Gulpin,gulping - noise of swallowing;
317,Swalot,swallow - to eat; a lot - many;
318,Carvanha,"carnivore - meat-eating creature; piranha - a species of fish, occasionally carnivorous;"
319,Sharpedo,"shark - large, voracious fish; torpedo - weapon used underwater;"
320,Wailmer,"whale - large aquatic mammal; mere - not more, small;"
321,Wailord,"whale - large aquatic mammal; lord - master, sire;"
322,Numel,numb - lacking in feeling; camel - hump-backed mammal commonly found in desert areas;
323,Camerupt,"camel - hump-backed mammal commonly found in desert areas; erupt - explode, eject molten lava from a volcano;"
324,Torkoal,tortoise - large reptile with a protective shell; coal - black substance used as fuel;
325,Spoink,spring - a coil that enables a bouncing action; oink - the noise a pig makes;
326,Grumpig,"grumpy - unhappy, grouchy; pig - farmyard animal;"
327,Spinda,spin - rotate around; panda - large mammal native to China;
328,Trapinch,"trap - device used to capture creatures; pinch - squeeze, compress;"
329,Vibrava,vibrate - shake rapidly; larva - young feeding stage of an insect;
330,Flygon,dragonfly - a species of flying insect;
331,Cacnea,cactus - a desert plant; -ea - Latin suffix;
332,Cacturne,cactus - a desert plant; nocturnal - relating to the night;
333,Swablu,swab - a piece of cotton (referring to Swablu’s wings); blue - a color;
334,Altaria,alto - high-pitched vocal sound; aria - an air or melody;
335,Zangoose,san - Japanese for ‘cut down’; mongoose - weasel-like mammal;
336,Seviper,sever - cut or separate; viper - a species of snake;
337,Lunatone,lunar - of or relating to the Moon; stone - small rock;
338,Solrock,"solar - of or relating to the Sun; rock - stone, boulder;"
339,Barboach,barb - a small spike; loach - a species of fish;
340,Whiscash,whisker - hair growing from the mouth; catfish - a species of fish;
341,Corphish,crawfish - a lobster-like crustacean; fish - marine creature;
342,Crawdaunt,crawfish - a lobster-like crustacean; daunt - overcome with fear;
343,Baltoy,balance - state of equilibrium; toy - plaything;
344,Claydol,clay - hard substance used for crockery and decorations; doll - plaything; dreidel - Jewish spinning top
345,Lileep,lily - a type of plant; creeper - plant or root that grows underground;
346,Cradily,cradle - to hold gently or protectively; lily - a type of plant;
347,Anorith,anomalocaris - an ancient fossilised shrimp; -lith - suffix referring to rock;
348,Armaldo,armor - tough protective shell or clothing; armadilo - mammal with a tough shell;
349,Feebas,feeble - weak; bass - a species of fish;
350,Milotic,Venus de Milo - sculpture known for its beauty; exotic - foreign or unusual; beautiful;
351,Castform,"forecast - to predict, esp. weather; form - state or shape (referring to Castform’s ability);"
352,Kecleon,kakureru - from its Japanese name meaning ‘to hide’; chameleon - lizard known for its ability to adapt to its surroundings;
353,Shuppet,"shadow - dark area created by blocking out light; puppet - referring to ‘shadow puppet’, casting shadow shapes with one’s hands;"
354,Banette,bane - something that ruins or spoils; marionette - a type of puppet manipulated by strings;
355,Duskull,dusk - the partial darkness between day and night; skull - the bony framework of the head;
356,Dusclops,dusk - the partial darkness between day and night; cyclops - a monster with one eye;
357,Tropius,tropical - of or relating to the rainforest; -saurus - Greek suffix meaning ‘lizard’;
358,Chimecho,chime - to ring out (e.g. a bell); echo - (of sound) to reverberate;
359,Absol,absolution - freeing oneself from guilt;
360,Wynaut,why not - how its name is pronounced;
361,Snorunt,snow - frozen precipitation; runt - the smallest of a litter of animals;
362,Glalie,glacier - large mass of ice; goalie - a goalkeeper; Glalie’s design is based on an ice hockey goalie;
363,Spheal,sphere - ball shape; seal - marine creature;
364,Sealeo,seal - marine creature; leo - Latin for ‘lion’;
365,Walrein,"walrus - marine creature; reign - to rule over others, like royalty;"
366,Clamperl,clam - hard-shelled marine creature; pearl - gem found in clams/oysters; clamp - to grip or shut tightly
367,Huntail,hunt - chase or forage for food; tail - hindmost part of an animal;
368,Gorebyss,gore - to pierce with a horn or tusk; abyss - deep gulf or crag;
369,Relicanth,relic - very old object; antique; coelacanths - ancient fossilised fish;
370,Luvdisc,love - profound affection; disc - circular shape;
371,Bagon,baby - newborn child; dragon - mythical fire-breathing creature;
372,Shelgon,shell - hard cover; dragon - mythical fire-breathing creature;
373,Salamence,"salamander - lizard-like amphibian; menace - brutal, violent;"
374,Beldum,dumbbell - small training weight;
375,Metang,metal - solid material; tang - sound of metal being struck;
376,Metagross,"metal - solid material; gross - great, large;"
377,Regirock,"regi - (Latin) of or relating to royalty; rock - stone, boulder;"
378,Regice,regi - (Latin) of or relating to royalty; ice - frozen water;
379,Registeel,regi - (Latin) of or relating to royalty; steel - a metal alloy;
380,Latias,lateo - to lie hidden; -as - female suffix;
381,Latios,lateo - to lie hidden; -os - male suffix;
382,Kyogre,kai - Japanese for ‘ocean’; orca - a species of whale;
383,Groudon,ground - the earth; don - of great size/importance; lord or master;
384,Rayquaza,ray - beam of light; quasar - distant star;
385,Jirachi,sachi - Japanese for ‘wish’;
386,Deoxys,"deoxyribonucleic acid - the full technical name for DNA, the core genetic material for all living things;"
387,Turtwig,turtle - water-based reptile; twig - a small tree branch;
388,Grotle,grove - a small wood or forest; turtle - water-based reptile;
389,Torterra,tortoise - large reptile with a protective shell; terra - Latin for ‘earth’;
390,Chimchar,chimp - a species of primate; char - to burn or singe;
391,Monferno,monkey - a species of primate; inferno - a raging fire;
392,Infernape,inferno - a raging fire; ape - a species of primate;
393,Piplup,pip - to hatch from an egg; plup - dripping water sound;
394,Prinplup,prince - heir to a throne of an emperor or king; plup - dripping water sound;
395,Empoleon,emperor - ruler; a species of penguin; Napoleon - French naval leader;
396,Starly,starling - a species of bird;
397,Staravia,starling - a species of bird; avian - relating to birds;
398,Staraptor,starling - a species of bird; raptor - a voracious bird;
399,Bidoof,"biber - German for ‘beaver’, a rodent; tooth - hard object in the mouth for biting/chewing food;"
400,Bibarel,"biber - German for ‘beaver’, a rodent; barrel - wooden container often holding water or liquid;"
401,Kricketot,cricket - a species of insect; tot - a small child;
402,Kricketune,cricket - a species of insect; tune - music;
403,Shinx,shine - to glow brightly; lynx - wildcat;
404,Luxio,lux - unit of brightness; leo - Latin for ‘lion’;
405,Luxray,lux - unit of brightness; x-ray - electromagnetic radiation that can ‘see through’ certain objects;
406,Budew,bud - closed flower; dew - moisture often found on grass or plants;
407,Roserade,rose - a type of flower; masquerade - costume/disguise or a facade;
408,Cranidos,"cranium - brain or head, referring to Cranidos’ thick skull; -dos - common dinosaur suffix;"
409,Rampardos,rampart - defensive wall; -dos - common dinosaur suffix;
410,Shieldon,shield - protective armor; -don - common dinosaur suffix;
411,Bastiodon,bastion - a structure protruding from a fortification; -don - common dinosaur suffix;
412,Burmy,bagworm - a species of moth; wormy - worm-like;
413,Wormadam,bagworm - a species of moth; madam - referring to a female;
414,Mothim,moth - a species of insect; him - referring to a male;
415,Combee,honeycomb - hexagonal structure storing honey in a beehive; bee - a species of flying insect;
416,Vespiquen,vespine - of or relating to wasps; queen - female royalty;
417,Pachirisu,pachipachi - Japanese for ‘electric crackling’; risu - Japanese for ‘squirrel’;
418,Buizel,buoy - floating marker in the sea (usually orange); weasel - small mammal with a long body;
419,Floatzel,float - to rest on a surface of liquid; weasel - small mammal with a long body;
420,Cherubi,"cherry - a small fruit that grows on trees; cherubim - sweet, innocent child;"
421,Cherrim,"cherry - a small fruit that grows on trees; cherubim - sweet, innocent child;"
422,Shellos,shell - hard cover; lost - missing (it has no shell);
423,Gastrodon,"gastropod - set of creatures including snails, whelks and slugs; don - of great size/importance; lord or master;"
