#,english,desc_english,japanese,desc_japanese
17,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,めんえき,『どく』状態にならない。
18,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。／『ほのお』タイプの野生のポケモンと出会いやすくなる(第8世代から)。
19,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,りんぷん,技の追加効果を受けない。
20,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",マイペース,『こんらん』状態にならない。第8世代からは、相手の特性『いかく』の効果も受けない。
21,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,きゅうばん,相手を交代させる技『ふきとばし』『ほえる』『ドラゴンテール』『ともえなげ』の効果を受けない。／『てもち』の先頭にいると釣りが成功しやすくなる(第7世代まで※未検証)。
22,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。第8世代からは、特性『きもったま』『せいしんりょく』『どんかん』『マイペース』の相手には無効。／レベルの低い野生のポケモンと出会いにくくなる(第7世代まで※未検証)。
23,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,かげふみ,相手は逃げたり、ポケモンを交代することができなくなる。相手が『ゴースト』タイプや特性『かげふみ』の場合は無効。
24,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,さめはだ,直接攻撃を受けると、相手のHPを相手の最大HPの1/8減らす。
25,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,ふしぎなまもり,タイプ相性が『こうかは ばつぐん』でない技のダメージを受けない。ただし、タイプ相性に関係のない技は影響しない。
26,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",ふゆう,『じめん』タイプの技を受けない。また、技『どくびし』『まきびし』『ねばねばネット』や特性『ありじごく』の効果を受けない。『エレキフィールド』『サイコフィールド』『グラスフィールド』『ミストフィールド』の効果も受けない。
27,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",ほうし,直接攻撃を受けると、30%の確率で相手を『どく』『まひ』『ねむり』状態のいずれかにする。
28,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",シンクロ,相手の技や特性によって『どく』『まひ』『やけど』状態になった時、相手を同じ状態異常にする。／同じ『せいかく』の野生のポケモンと出会いやすくなる。
29,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,クリアボディ,相手の能力ランクを下げる技や特性の効果を受けない。
30,Natural Cure,All status conditions heal when the Pokémon switches out.,しぜんかいふく,他のポケモンに交代すると異常状態が回復する。
31,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、自分の『とくこう』ランクが1段階上がる。またダブルバトルの時、自分以外の全てのポケモンの『でんき』タイプの単体攻撃技の攻撃対象が自分になる。(攻撃対象が複数の技の場合はそのまま)／『でんき』タイプの野生のポケモンと出会いやすくなる(第8世代から)。
32,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,てんのめぐみ,技の追加効果の発生率が2倍になる。
33,Swift Swim,Boosts the Pokémon's Speed stat in rain.,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。
34,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,ようりょくそ,天気が『にほんばれ』の時、『すばやさ』が2倍になる。
35,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,はっこう,／野生のポケモンと出会いやすくなる。
36,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",トレース,場に出た時、相手と同じ特性になる。相手が2体いる場合はランダムにどちらかの特性が選ばれる。相手の特性が『ARシステム』『イリュージョン』『かがくのちから』『かわりもの』『きずなへんげ』『ぎょぐん』『スワームチェンジ』『ぜったいねむり』『ダルマモード』『てんきや』『トレース』『ばけのかわ』『バトルスイッチ』『フラワーギフト』『マルチタイプ』『リミットシールド』『レシーバー』の場合は効果がなく、相手が別の特性のポケモンとなった時に発動する。
37,Huge Power,Doubles the Pokémon's Attack stat.,ちからもち,攻撃時の自分の『こうげき』が2倍になる。なお、技『イカサマ』の場合も、相手の『こうげき』を自分の能力にコピーした後に2倍にして攻撃する。
38,Poison Point,Contact with the Pokémon may poison the attacker.,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。
39,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",せいしんりょく,相手の技で『ひるみ』状態にならない。なお、技『きあいパンチ』には影響しない。第8世代からは、相手の特性『いかく』の効果も受けない。
40,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",マグマのよろい,『こおり』状態にならない。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。(必要な歩数が半分になる)
41,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",みずのベール,『やけど』状態にならない。
42,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,じりょく,相手の『はがね』タイプのポケモンは逃げたり、ポケモンを交代することができなくなる。／『はがね』タイプの野生のポケモンと出会いやすくなる。
43,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,ぼうおん,音系の技『いびき』『いやしのすず』『いやなおと』『うたう』『うたかたのアリア』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『スケイルノイズ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『とおぼえ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』『ブレイジングソウルビート』『オーバードライブ』を受けない。
44,Rain Dish,The Pokémon gradually regains HP in rain.,あめうけざら,天気が『あめ』の時毎ターン、HPが最大HPの1/16回復する。
45,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,すなおこし,戦闘に出ると5ターンの間、天気が『すなあらし』になる。
46,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。
47,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。
48,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。
49,Flame Body,Contact with the Pokémon may burn the attacker.,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。(必要な歩数が半分になる)
50,Run Away,Enables a sure getaway from wild Pokémon.,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。
51,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,するどいめ,命中率ランクが下がらない。また、相手の回避率ランクの変化の影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる(第7世代まで※未検証)。
52,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,かいりきバサミ,相手の技や特性で『こうげき』ランクが下がらない。
53,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",ものひろい,毎ターン終了時に、そのターンに相手や味方(相手が優先)が消費した道具を拾って自分のものにする。自分が道具を持っていない時のみ発動する。『だっしゅつボタン』『ふうせん』には効果がない。／道具を持っていない時、戦闘後に10%の確率で道具を拾ってくる。戦闘に参加しなくてもよい。レベルに応じて拾ってくる道具が変化する。
54,Truant,The Pokémon can't use a move if it had used a move on the previous turn.,なまけ,攻撃後、次のターンは技が使えなくなる。交代などは可能。技『スキルスワップ』で入れ替えることや『いえき』で特性を無効化することはできるが、『シンプルビーム』『なかまづくり』『なやみのタネ』は効果がない。
55,Hustle,"Boosts the Attack stat, but lowers accuracy.",はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。
56,Cute Charm,Contact with the Pokémon may cause infatuation.,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。
57,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,プラス,特性『プラス』か『マイナス』のポケモンが戦闘にいると『とくこう』が1.5倍になる。
58,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,マイナス,特性『プラス』か『マイナス』のポケモンが戦闘にいると『とくこう』が1.5倍になる。
59,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.",てんきや,天気が『にほんばれ』の時は『ほのお』タイプに、『あめ』の時は『みず』タイプに、『あられ』の時は『こおり』タイプになり、姿がそれぞれ変化する。
60,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,ねんちゃく,持っている道具を相手に奪われない。／『てもち』の先頭にいると釣りが成功しやすくなる(第7世代まで※未検証)。
61,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,だっぴ,ターンごとに1/3の確率で状態異常が治る。
62,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。
63,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,ふしぎなうろこ,状態異常の時、『ぼうぎょ』が1.5倍になる。
64,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move.",ヘドロえき,HPを吸い取る技『きゅうけつ』『ギガドレイン』『すいとる』『ちからをすいとる』『デスウイング』『ドレインキッス』『ドレインパンチ』『パラボラチャージ』『メガドレイン』『やどりぎのタネ』を受けた時、逆に相手に本来回復する分のダメージを与える。『ちからをすいとる』は、『こうげき』ランクを下げる効果はある。
65,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。
66,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。
67,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。
68,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。
69,Rock Head,Protects the Pokémon from recoil damage.,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。
70,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,ひでり,戦闘に出ると5ターンの間、天気が『にほんばれ』になる。
71,Arena Trap,Prevents opposing Pokémon from fleeing.,ありじごく,相手は逃げたり、ポケモンを交代することができなくなる。ただし、相手が『ひこう』タイプや『ゴースト』タイプ、特性『ふゆう』の場合は効果がない。／野生のポケモンと出会いやすくなる。
72,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",やるき,『ねむり』状態にならない。技『ねむる』を使えない。／レベルの高い野生のポケモンと出会いやすくなる。
73,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",しろいけむり,相手の能力ランクを下げる技や特性の効果を受けない。／野生のポケモンと出会いにくくなる。
74,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",ヨガパワー,攻撃時の自分の『こうげき』が2倍になる。なお、技『イカサマ』の場合も、相手の『こうげき』を自分の能力にコピーした後に2倍にして攻撃する。
75,Shell Armor,A hard shell protects the Pokémon from critical hits.,シェルアーマー,自分への攻撃は急所に当たらない。
76,Air Lock,Eliminates the effects of weather.,エアロック,全てのポケモンに対しての天気の影響がなくなる。
77,Tangled Feet,Raises evasiveness if the Pokémon is confused.,ちどりあし,『こんらん』状態の時、回避率が上がる。
78,Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,でんきエンジン,『でんき』タイプの技を受けるとダメージや効果はなくなり、『すばやさ』ランクが1段階上がる。
79,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。
80,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。
81,Snow Cloak,Boosts evasiveness in a hailstorm.,ゆきがくれ,天気が『あられ』の時、相手の技の命中率が0.8倍になる。また、『あられ』によるダメージを受けない。／フィールドの天気が『あられ』の時、野生のポケモンと出会いにくくなる(第7世代まで※未検証)。
82,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。
83,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",いかりのつぼ,自分への攻撃が急所に当たると、『こうげき』ランクが最大まで上がる。
84,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.,かるわざ,持っている道具がなくなると『すばやさ』が2倍になる。再び道具を持つと元に戻る。最初から道具を持っていない場合は効果がない。
85,Heatproof,The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.,たいねつ,『ほのお』タイプの技を受けた時と、『やけど』状態によるダメージが半減する。
86,Simple,The stat changes the Pokémon receives are doubled.,たんじゅん,能力ランクの変化が2倍になる。
87,Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",かんそうはだ,『ほのお』タイプの技の受けるダメージが1.25倍になる。『みず』タイプの技を受けると、ダメージを受けずHPが最大HPの1/4回復する。また、天気が『にほんばれ』の時は毎ターン最大HPの1/8のダメージを受け、『あめ』の時は毎ターンHPが最大HPの1/8回復する。
88,Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,ダウンロード,相手の『ぼうぎょ』が『とくぼう』より低い場合は『こうげき』ランクを、『とくぼう』の方が低い場合は『とくこう』ランクを1段階上げる。
89,Iron Fist,Powers up punching moves.,てつのこぶし,パンチ系の技『アイスハンマー』『アームハンマー』『かみなりパンチ』『きあいパンチ』『グロウパンチ』『コメットパンチ』『シャドーパンチ』『スカイアッパー』『ドレインパンチ』『ばくれつパンチ』『バレットパンチ』『ピヨピヨパンチ』『プラズマフィスト』『ほのおのパンチ』『マッハパンチ』『メガトンパンチ』『れいとうパンチ』『れんぞくパンチ』『ダブルパンツァー』『あんこくきょうだ』『すいりゅうれんだ』の威力が1.2倍になる。
90,Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,ポイズンヒール,『どく』状態の時毎ターン、HPが減らずに最大HPの1/8だけ回復する。『もうどく』状態でも回復量は変わらない。
91,Adaptability,Powers up moves of the same type as the Pokémon.,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。
92,Skill Link,Maximizes the number of times multistrike moves hit.,スキルリンク,1ターンに2～5回連続で攻撃する技『おうふくビンタ』『スイープビンタ』『スケイルショット』『タネマシンガン』『たまなげ』『つっぱり』『つららばり』『とげキャノン』『ボーンラッシュ』『ミサイルばり』『みずしゅりけん』『みだれづき』『みだれひっかき』『れんぞくパンチ』『ロックブラスト』が必ず5回当たる。
93,Hydration,Heals status conditions if it's raining.,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。
94,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",サンパワー,天気が『にほんばれ』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。
95,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,はやあし,状態異常の時、『すばやさ』が1.5倍になる。／野生のポケモンと出会いにくくなる。
96,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,ノーマルスキン,自分の全ての技が『ノーマル』タイプになる。さらに威力が1.2倍になる。(第6世代は威力上昇なし)
97,Sniper,Powers up moves if they become critical hits when attacking.,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。
98,Magic Guard,The Pokémon only takes damage from attacks.,マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『とびだすなかみ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、『ニードルガード』『ふんじん』によるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。
99,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。技『そらをとぶ』『とびはねる』『フリーフォール』『あなをほる』『ダイビング』『ゴーストダイブ』『シャドーダイブ』を使っている時でも命中する。／野生のポケモンと出会いやすくなる。
100,Stall,The Pokémon moves after all other Pokémon do.,あとだし,技を出す順番が必ず一番最後になる。
101,Technician,Powers up the Pokémon's weaker moves.,テクニシャン,威力が60以下の技の威力が1.5倍になる。威力の変動する技や、威力が修正された場合は修正後の威力で判定する。
102,Leaf Guard,Prevents status conditions in harsh sunlight.,リーフガード,天気が『にほんばれ』の時、状態異常にならない。
103,Klutz,The Pokémon can't use any held items.,ぶきよう,持っている道具の効果が発揮されない。
104,Mold Breaker,Moves can be used on the target regardless of its Abilities.,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。
105,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,きょううん,急所ランクが1段階上がった状態となり、自分の攻撃が急所に当たりやすくなる。／野生のポケモンが道具を持っている確率が上がる(5%のものが20%になる)(第8世代から)。
106,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,ゆうばく,相手の直接攻撃で『ひんし』になった時、相手に相手の最大HPの1/4のダメージを与える。
107,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,きけんよち,戦闘に出てきた時、相手が『こうかは ばつぐん』や一撃必殺となる技を持っているかが分かる。技の名前などは分からない。
108,Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",よちむ,戦闘に出ると相手の覚えている技のうち、最も威力の高い技の名前が分かる。同じ威力の技がある場合はランダム。
109,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",てんねん,相手の能力ランクの変化の影響を受けない。
110,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。
111,Filter,Reduces the power of supereffective attacks taken.,フィルター,タイプ相性が『こうかは ばつぐん』の技の受けるダメージが3/4になる。例えば、2倍弱点の場合は1.5倍のダメージになる。
112,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",スロースタート,戦闘に出てから5ターンの間、『こうげき』『すばやさ』が半分になる。
113,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,きもったま,相手が『ゴースト』タイプでも、『ノーマル』『かくとう』タイプの技が等倍で当たる。第8世代からは、相手の特性『いかく』の効果も受けない。
114,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",よびみず,『みず』タイプの技を受けるとダメージが無効化され、自分の『とくこう』ランクが1段階上がる。またダブルバトルの時、自分以外の全てのポケモンの『みず』タイプの単体攻撃技の攻撃対象が自分になる。(攻撃対象が複数の技の場合はそのまま)／『みず』タイプの野生のポケモンと出会いやすくなる(第8世代から)。
115,Ice Body,The Pokémon gradually regains HP in a hailstorm.,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。
116,Solid Rock,Reduces the power of supereffective attacks taken.,ハードロック,タイプ相性が『こうかは ばつぐん』の技の受けるダメージが3/4になる。例えば、本来2倍弱点の場合は1.5倍のダメージに軽減される。
117,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,ゆきふらし,戦闘に出ると5ターンの間、天気が『あられ』になる。
118,Honey Gather,The Pokémon may gather Honey after a battle.,みつあつめ,／道具を持っていない時、戦闘後にどうぐ『あまいミツ』を拾ってくることがある。戦闘に参加しなくてもよい。レベルが高い程、拾ってくる確率が上がる。
119,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。
120,Reckless,Powers up moves that have recoil damage.,すてみ,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『とびげり』『とびひざげり』『もろはのずつき』『フレアドライブ』『ブレイブバード』『ボルテッカー』『ワイルドボルト』の威力が1.2倍になる。
121,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.,マルチタイプ,持っている『プレート』に対応して『タイプ』が変化する。
122,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.,フラワーギフト,天気が『にほんばれ』の時、ポジフォルムにフォルムチェンジする。種族値などは変わらないが、自分とすべての味方の『こうげき』『とくぼう』が1.5倍になる。
123,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.,ナイトメア,相手が『ねむり』状態の時、相手のHPを相手の最大HPの1/8減らす。
124,Pickpocket,Steals an item from an attacker that made direct contact.,わるいてぐせ,直接攻撃を受けた時、相手の持っている道具を奪う。
125,Sheer Force,Removes additional effects to increase the power of moves when attacking.,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。また、追加効果がある技を使うと、道具『いのちのたま』の反動効果や『かいがらのすず』の回復効果を受けない。攻撃対象の相手の道具『だっしゅつボタン』『レッドカード』『アッキのみ』『タラプのみ』および特性『にげごし』『ききかいひ』『へんしょく』『わるいてぐせ』『ぎゃくじょう』の効果も発動させない。なお、自分の能力ランクを下げる技や反動技、ダイマックス技は追加効果の対象ではない。
126,Contrary,Makes stat changes have an opposite effect.,あまのじゃく,能力ランクを変化させる技の効果が逆になる(1段階上がるものは1段階下がる)。ダイマックス技の追加効果は影響を受けるが、第7世代の変化技のZワザによる追加効果については影響を受けない。
127,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。
128,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,まけんき,相手の技や特性で能力ランクが下がった時、自分の『こうげき』ランクが2段階上がる。自分や味方の技や特性で下がった場合は効果がない。
129,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.,よわき,自分のHPが半分以下になると、『こうげき』『とくこう』が半減する。
130,Cursed Body,May disable a move used on the Pokémon.,のろわれボディ,相手から技を受けた時、30%の確率で3ターンの間、その相手の技を『かなしばり』状態にする。技が無効化された場合や、自分が『みがわり』状態の場合は発動しない。
131,Healer,Sometimes heals an ally's status condition.,いやしのこころ,毎ターン終了時、1/3の確率で自分以外の味方の状態異常が治る。
132,Friend Guard,Reduces damage done to allies.,フレンドガード,自分以外の味方が受けるダメージが3/4に軽減される。(ダブルバトル用)
133,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが2段階上がる。(第6世代は1段階)
134,Heavy Metal,Doubles the Pokémon's weight.,ヘヴィメタル,自分の『おもさ』が2倍になる。(技『ヘビーボンバー』などで有効)
135,Light Metal,Halves the Pokémon's weight.,ライトメタル,自分の『おもさ』が半分になる。(技『けたぐり』『くさむすび』対策などで有効)
136,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.,マルチスケイル,自分の残りHPが最大値の時、受けるダメージが半減される。
137,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.,どくぼうそう,『どく』『もうどく』状態の時、自分の物理技の威力が1.5倍になる。
138,Flare Boost,Powers up special attacks when the Pokémon is burned.,ねつぼうそう,『やけど』状態の時、自分の特殊技の威力が1.5倍になる。
